"nSubmissionID","sItagID","dDateReviewed","sItagGovernanceType","sDecision","bConstraints","bActionItems","sContentType","sProductManufacturer","sProductName","dDateRequested","sTechnologyHostingModel","sApplicationHostingModel","sDeploymentType","sPurposeForEngagement","bNewITCapability","sITCapability","sBusinessCapability","bCurrentLicenses","sNumberOfUsers","bIntegrationRequired","sIntegrationMethod","bExternalDataSources","sDataObjectsInvolvedInIntegration","sSourceSystem","sTargetSystem","sProductNameWithManufacture","bOpenSource","nEstGaCost","nEstCapitalCost","sITClass"
"25","TGB031.2016","11/10/2016","Technology","Approved","True","True","TGB Technology Review","Trello","Trello","12/15/2016","Cloud Hosted Software as a Service (SaaS)","","Production","Seeking Approval","False","Information Delivery :: Content Delivery :: Knowledge Management :: Team & Workgroup Collaboration","","","","False","","False","","","","Trello | Trello","No","0.0000","0.0000","Information Delivery :: Content Delivery"
"22","TGB026.2016","10/27/2016","Technology","Approved","False","False","TGB Technology Review","GoPhish","GoPhish","12/15/2016","On-Premises Digital Security","","Production","Seeking Approval","False","Digital Security :: Preventative Security :: Vulnerability Assessment","","","","False","","False","","","","GoPhish | GoPhish","Yes","0.0000","0.0000","Digital Security :: Preventative Security"
"44","TGB024.2016","10/27/2016","Technology","Approved","True","True","TGB Technology Review","Securonix","SNYPR","12/15/2016","On-Premises Digital Security","","Production","Seeking Approval","False","Digital Security :: Detective Security :: Host Based Forensics :: Raw Data Analytics","","","","False","","False","","","","Securonix | SNYPR","No","300000","0.0000","Digital Security :: Detective Security"
"32","TGB022.2016","10/13/2016","Technology","Approved","True","True","TGB Technology Review","HangFire.io","HangFire","12/15/2016","On-Premises Platform","","Production","Seeking Approval","False","Middleware & Platform :: Application Platform Services :: Application Development Framework Services :: Web Application Platform","","","","False","","False","","","","HangFire.io | HangFire","Yes","0.0000","0.0000","Middleware & Platform :: Application Platform Services"
"24","TGB021.2016","10/13/2016","Technology","Approved","True","False","TGB Technology Review","SAS","SAS Deep Analytics Suite","12/15/2016","On-Premises Platform","","Production","Seeking Approval","False","Information Delivery :: Reporting & Analytics :: Analytics","","","","False","","False","","","","SAS | SAS Deep Analytics Suite","No","0.0000","0.0000","Information Delivery :: Reporting & Analytics"
"39","TGB020.2016","09/29/2016","Cloud Use Case","Approved","False","True","TGB Technology Review","Microsoft","Calgary OSI Soft PI - Azure Iaas","12/15/2016","Cloud Hosted Infrastructure as a Service (IaaS)","","Production","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Business Process Management (BPM) & Workflow :: Machine Workflow","","","","False","","False","","","","Microsoft | Calgary OSI Soft PI - Azure Iaas","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management"
"38","TGB019.2016","09/29/2016","Cloud Use Case","Approved","False","True","TGB Technology Review","Microsoft","OSISoft PI - Azure IaaS","12/15/2016","Cloud Hosted Infrastructure as a Service (IaaS)","","Production","Raise Awareness","False","Middleware & Platform :: Integration & Data Management :: Business Process Management (BPM) & Workflow :: Machine Workflow","","","","False","","False","","","","Microsoft | OSISoft PI - Azure IaaS","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management"
"45","TGB018.2016","10/13/2016","Technology","Approved","False","False","TGB Technology Review","ServiceNow","ServiceNow IT Service Management Suite","12/15/2016","Cloud Hosted Software as a Service (SaaS)","","Production","Seeking Approval","False","Infrastructure :: Infrastructure Management :: Monitoring & Event Correlation","","","","False","","False","","","","ServiceNow | ServiceNow IT Service Management Suite","No","0.0000","0.0000","Infrastructure :: Infrastructure Management"
"33","TGB017.2016","10/13/2016","Technology","Approved","True","False","TGB Technology Review","Hewlett Packard (HPE)","HPE Service Assistance","12/15/2016","On-Premises Operations & Automation","","Production","Seeking Approval","False","Infrastructure :: Infrastructure Management :: Monitoring & Event Correlation","","","","False","","False","","","","Hewlett Packard (HPE) | HPE Service Assistance","No","0.0000","0.0000","Infrastructure :: Infrastructure Management"
"30","TGB016.2016","09/29/2016","Technology","Approved","False","False","TGB Technology Review","EQUINIX","Cloud Exchange","12/15/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","Infrastructure :: Voice & Data Communications :: Network Transport","","","","False","","False","","","","EQUINIX | Cloud Exchange","No","300000","90000","Infrastructure :: Voice & Data Communications"
